smiles,logP,qed,SAS
C=C[C@@]1(C)CC=C2[C@@H](CC[C@@H]3C(C)(C)[C@H](OC(=O)C(N)=O)CC[C@@]23C)C1,4.148500000000002,0.4573553852981403,4.528241989994859
C=C1CC[C@H]2[C@](C)(CC/C=C(\C)C(=O)O)[C@@H](OC(C)=O)CC[C@]2(C)[C@@H]1Cc1c(O)c(C)c(C)oc1=O,5.636340000000006,0.2829654690353767,4.633929513840656
C=C(C)c1cnc2ccccc2c1-c1cc(C(=O)NC(C(=O)N2CCC(C)(O)C2C(=O)N/C(C(=O)O)=C(\C)CC)C(Cl)C(O)CN=C(N)N)ccc1OC,2.5203000000000024,0.0544576189103662,5.029331131826212
CC1=C(C)[C@H]2[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@]23c2ccc([nH]2)C(=O)[C@H](C)C[C@@H](C)CC=C[C@H]3[C@@H]1O,5.223100000000005,0.3550570076092565,6.494288946638232
Cc1cnc(-c2cc(O)ccc2O)c2c1[C@@H](O)CC2,2.44782,0.6859733928712802,3.280928792382918
CCC(=C/C(C)C/C=C/C(C)=C/C(C)C(=O)C(C)C1OC(C)(CCO)CC1C)/C=C/C1OC(=O)C=CC1C,6.932800000000009,0.2079966953921486,5.631967940374881
Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(C)c(C(=O)O)c(O)c(CO)c1O2,2.04254,0.3592582671753845,3.26626250029956
COc1cc(O)c2c(c1-c1c(OC)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C(=O)c1cc(C)cc(O)c1C2=O,4.360840000000004,0.24155318518321,2.924400041681244
COc1cc(C(=O)NCC2(C)OC3(OC(=O)C2O)C(=O)NC(=C(C=O)C(C)=O)OC3C(O)C2CN2C(C)=O)c2cccc(C)c2c1,-0.6179799999999966,0.0712307026770378,5.756767031067152
COc1ccc(-c2cc3c(c(=O)o2)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]2(C)O3)cc1,5.222400000000005,0.6959649506170659,4.047221122788846
CO[C@H]1C=C/C=C\C=C/C[C@H](OC(=O)C2(NC(=O)C3CCCCC3)CC2)[C@H](C)[C@@H](O)/C(C)=C\CCC2=CC(=O)C=C(NC(=O)C1)C2=O,4.406500000000003,0.2257579007700676,5.977780137976534
CCC(O)CC1OC2(CCC1C)CC1OC(=O)/C=C\C(C)C(O)C(C)C(O)CC(O)C(C)(O)CCC/C=C\C(CC(C)C)C(=O)CC(O2)C1C,5.409400000000006,0.1844667547837124,7.409844037551235
COc1c(Cl)cc2c(c1OC)N(C)C1N3C(=O)C4(C)SSC3(CC21O)C(=O)N4C,1.8325,0.6734622288492932,6.112571865925965
C=CCCc1ccc(C(=O)O)nc1,1.8984,0.7143666128257207,2.202743596162671
CCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@@]2(CCCC(OC(C)=O)C(C)C/C=C/c3ccccc3)O[C@H](C(=O)O)[C@@](O)(C(=O)O)[C@]1(C(=O)O)O2,4.090400000000001,0.0897444233190033,5.6408330951020345
CC[C@H](C)/C=C(C)\C=C\C1=CC2=C(Cl)C(=O)[C@@]3(C)OC4(O)C[C@H](C)OC(=O)[C@@H]4[C@H]3C2=CO1,4.453900000000004,0.4925749149615021,5.4085584980655455
CC1(C)[C@@H](O)CC[C@]2(C)[C@@H](CO)[C@@H](CO)CC[C@@H]12,1.8006,0.7058252154488643,4.059206580369269
CC[C@H](C)[C@H](NC(=O)N[C@H](C(=O)O)C(C)C)C(=O)N[C@H]1CCCCNC(=O)/C=C\[C@H](C(C)C)NC1=O,1.2914000000000023,0.2739666957183805,4.674207103990783
C[C@H]1C[C@@H](C)C(=O)[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1,1.0415,0.7571556004572341,4.230687083446438
C[C@@H]1CC(=O)C2=C(C1)C1OC1[C@]1(O)[C@H]2C(=O)c2cccc(O)c2[C@@H]1O,1.0457999999999998,0.6083822303571954,4.80479902402247
O=C1C=C(CCC(=O)OCCc2ccccc2)CC1,2.841800000000001,0.7368383119742531,2.2106956568112306
Cc1cc(O)cc(O)c1C(=O)O[C@@]1(C)C(=O)C2=C(C=C(/C=C/CO)OC2)C[C@H]1O,1.4146199999999995,0.5557994653396969,4.458314409555657
COC(=O)c1ccc(O)c(NC(=O)CC[C@]2(C)C(=O)C[C@@H](O)[C@]34CC5C[C@H](O[C@@]5(C)C3)C24)c1O,2.516900000000001,0.3774575379990211,6.299892290292755
C/C(=C\C(=O)O)c1ccc(CO)c(=O)o1,0.6199999999999999,0.7137894138895903,2.7666408111116088
COC(=O)c1cc(O)cc(OC)c1Oc1c(Cl)c(C)cc(O)c1C(=O)OC,3.433720000000002,0.7390953395893263,2.648300961838021
COc1cc2c(c(O)c1OC)C(=O)O[C@@H]1C[C@H](C[C@@H](C)O)O[C@H]21,1.5492999999999997,0.8114185981707274,4.036627910845684
NC/C=C1/O[C@H]2CC(=O)N2[C@@H]1C(=O)O,-1.1292000000000002,0.5475488382615386,4.196332282510456
CC(C)(C=CC[C@@H](CO)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3)OO,6.919600000000008,0.2219417020616402,5.076581442304839
C[C@@H]1CCN2C[C@]34Cc5c([nH]c6ccccc56)C(C)(C)[C@@H]3C[C@]12C(=O)N4,2.970700000000001,0.768138373716898,5.864046192528897
CC(C)(O)/C=C/c1cc(O)ccc1O,1.8818999999999997,0.6298211468443533,2.640809483821036
O=C(CC(O)(CC(=O)NCCCNCCCNC(=O)c1ccc(O)c(O)c1)C(=O)O)NCCCCNCCCNC(=O)c1ccc(O)c(O)c1S(=O)(=O)O,-1.126499999999993,0.0321900988630183,3.864989646850262
C=C(C(=O)O)C(CCCCCC(=O)OCC)C(=O)O,1.8416,0.3573033304435268,2.846236629828491
CC1OC(=O)C(NC(=O)c2cccc(NC=O)c2O)C(C)OC(=O)C(C(C)C)OC(=O)C(C)(C)C(O)C(Cc2ccccc2)OC1=O,2.0453,0.1463661703869309,5.245090106335014
C=C(COC(C)=O)[C@@]12O[C@@H]1[C@@]1(C)C(=C[C@H]2O)C=C[C@@H](O)[C@@H]1C,1.1172999999999995,0.4638900955503283,5.254467449096979
C=C=CCOc1ccc(CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1,-0.2770000000000003,0.5065587273602574,3.828191940571735
CC1=C[C@H]2O[C@@H]3C[C@@H](OC(=O)/C=C\C=C\C[C@@H](C)O)[C@@](C)([C@]34CO4)[C@@]2(COC(=O)/C=C(\C)CCO)CC1,3.3263000000000016,0.1494282933743899,6.335354947501732
CC(=O)OCC1=CC(=O)C2(C(/C=C(C)/C=C/C=C(\C)CCC=C(C)C)OC(C)=O)OC2C1=O,3.892200000000003,0.2127625414738386,4.760619875223008
C[C@H]1CC[C@H]2[C@@H](C=C[C@@H]3COC(=O)[C@@]32C)[C@@H]1O,1.7586999999999997,0.5147168056712771,4.536348647064879
CC(C)=CCc1c(OC(=O)c2c(C)cc(O)cc2O)cc2c(c1O)CN(C(CC(C)C)C(=O)O)C2=O,4.294820000000003,0.2400657643755719,3.621212584228816
NC(CCCCNC(=O)Cc1c[nH]c2ccccc12)C(=O)O,1.4087999999999994,0.5528025982872763,2.4819470236396146
C/C=C/C=C/CCCCCCC(=O)CNC(C)=O,3.164500000000001,0.4786299820349663,2.6232268106073
COc1cc(O)c2c(c1)[C@@H](O)[C@@H]1CC[C@@H](O1)[C@H](O)/C=C\C[C@H](C)OC2=O,1.8479,0.5157417596573083,5.404315644372212
CC1=C2CC[C@H](C)[C@]23CC[C@@H](C3)C1(C)C,4.559100000000004,0.5074101063945532,5.349224106389594
CCCCCCCC(=O)c1c(O)cc(OC)cc1CC(=O)OCC,4.049600000000003,0.3748109244723839,2.268932803990017
COc1ccc(-n2cnc3ccc(OC)cc3c2=O)c(CO)c1,1.8952,0.7962318070083987,2.148109240429454
CCOC(=O)Cc1cc(O)cc2c1C(=O)C[C@@H](C[C@H](C)O)O2,1.6025,0.8026526848493051,3.4940997098755204
