Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.67810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.73143 %
Validity: 80.70000 % | Diversity: 18.10000 % | Reconstruction: 88.11619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.48762 %
Validity: 81.30000 % | Diversity: 19.40000 % | Reconstruction: 88.35810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.88952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.31238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.58667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.27810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.18476 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.29524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.28381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.06286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.12952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.01714 %
Validity: 81.80000 % | Diversity: 17.80000 % | Reconstruction: 88.52952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.15619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.19048 %
Validity: 81.60000 % | Diversity: 18.90000 % | Reconstruction: 88.87048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.11429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.55048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.72190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.78857 %
Validity: 82.90000 % | Diversity: 20.40000 % | Reconstruction: 89.03810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.76762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.60190 %
Validity: 79.50000 % | Diversity: 19.70000 % | Reconstruction: 89.08381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.46857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 86.36952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.67429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 88.83619 %
